Unnamed: 0,match_event_id,location_x,location_y,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home/away,shot_id_number,lat/lng,type_of_shot,type_of_combined_shot,match_id,team_id,remaining_min_1,power_of_shot_1,knockout_match_1,remaining_sec_1,distance_of_shot_1
3460,21.0,-79.0,151.0,7.0,1.0,0,2002-03,55.0,37.0,,Left Side Center(LC),Mid Range,16-24 ft.,,2002-11-27,MANU @ ORL,3461,"28.549237, -81.372780",,shot - 3,20200206,1610612747,24.64,89.36,0.0,55.0,83.4
3472,227.0,0.0,0.0,1.0,2.0,0,2002-03,36.0,20.0,,Center(C),Goal Area,,Manchester United,2002-11-27,MANU @ ORL,3473,"28.549237, -81.372780",shot - 12,,20200206,1610612747,1.0,2.0,0.0,36.0,20.0
3476,304.0,-82.0,207.0,6.0,3.0,0,2002-03,23.0,42.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2002-11-27,MANU @ ORL,3477,"28.549237, -81.372780",shot - 10,,20200206,1610612747,43.64,117.36,0.0,23.0,42.0
3488,484.0,166.0,-23.0,1.0,4.0,0,2002-03,11.0,36.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2002-11-27,MANU @ ORL,3489,"28.549237, -81.372780",,shot - 3,20200206,1610612747,1.0,4.0,0.0,11.0,88.4
3490,511.0,136.0,46.0,0.0,4.0,0,2002-03,33.0,34.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-11-27,MANU @ ORL,3491,,,shot - 3,20200206,1610612747,,4.0,0.0,64.7856,34.0
3509,249.0,-33.0,56.0,9.0,3.0,0,2002-03,59.0,26.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2002-11-29,MANU @ MEM,3510,"35.103812, -89.964007",,shot - 3,20200223,1610612747,9.0,3.0,0.0,59.0,26.0
3514,352.0,128.0,10.0,11.0,4.0,0,,27.0,32.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-11-29,MANU @ MEM,3515,"35.103812, -89.964007",shot - 38,,20200223,1610612747,11.0,4.0,86.8,27.0,32.0
3526,,98.0,123.0,10.0,1.0,0,2002-03,46.0,35.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-12-01,MANU vs. MIN,3527,"42.982923, -71.446094",,shot - 3,20200243,1610612747,10.0,1.0,0.0,46.0,35.0
3529,44.0,0.0,0.0,5.0,1.0,0,2002-03,,20.0,,,Goal Area,Less Than 8 ft.,Manchester United,2002-12-01,MANU vs. MIN,3530,"42.982923, -71.446094",,shot - 4,20200243,1610612747,5.0,73.36,0.0,15.0,20.0
3532,,0.0,0.0,0.0,2.0,0,2002-03,45.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,,2002-12-01,MANU vs. MIN,3533,"42.982923, -71.446094",shot - 4,,20200243,1610612747,0.0,2.0,0.0,45.0,20.0
3539,480.0,-20.0,257.0,0.0,,0,2002-03,10.0,,,Center(C),Penalty Spot,24+ ft.,Manchester United,2002-12-01,MANU vs. MIN,3540,"42.982923, -71.446094",shot - 30,,20200243,1610612747,0.0,4.0,49.608000000000004,104.7856,45.0
3544,102.0,,0.0,0.0,1.0,0,2002-03,45.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,,,MANU vs. MEM,3545,"42.982923, -71.446094",,shot - 4,20200254,1610612747,0.0,1.0,0.0,45.0,16.4
3552,313.0,128.0,105.0,3.0,3.0,0,,20.0,36.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2002-12-03,MANU vs. MEM,3553,"42.982923, -71.446094",,shot - 3,20200254,1610612747,3.0,3.0,0.0,20.0,36.0
3568,398.0,0.0,0.0,7.0,4.0,0,2002-03,4.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-04,MANU @ UTA,3569,"40.774891, -111.930790",,shot - 4,20200262,1610612747,7.0,4.0,0.0,4.0,
3581,343.0,117.0,132.0,0.0,3.0,0,2002-03,,37.0,,Right Side Center(RC),Mid Range,,Manchester United,2002-12-06,MANU vs. DAL,3582,"42.982923, -71.446094",shot - 38,,20200278,1610612747,0.0,3.0,122.928,,45.4
3603,463.0,0.0,0.0,4.0,4.0,0,2002-03,,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-08,MANU vs. UTA,3604,"42.982923, -71.446094",shot - 39,,20200292,1610612747,4.0,4.0,0.0,57.0,20.0
3604,479.0,149.0,0.0,3.0,4.0,0,2002-03,15.0,34.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-12-08,MANU vs. UTA,3605,"42.982923, -71.446094",,shot - 3,20200292,1610612747,3.0,4.0,87.8,,34.0
3608,35.0,1.0,61.0,7.0,1.0,0,,26.0,26.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2002-12-10,MANU @ GSW,3609,"37.754130, -122.437947",,shot - 3,20200305,1610612747,7.0,1.0,0.0,26.0,26.0
3615,142.0,8.0,53.0,8.0,2.0,0,,13.0,25.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2002-12-10,MANU @ GSW,3616,"37.754130, -122.437947",shot - 5,,20200305,1610612747,8.0,2.0,0.0,13.0,25.0
3623,104.0,-77.0,202.0,0.0,1.0,0,2002-03,0.0,41.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2002-12-13,MANU vs. NOH,3624,"42.982923, -71.446094",,shot - 3,20200326,1610612747,,1.0,0.0,0.0,41.0
3627,,0.0,0.0,9.0,3.0,0,2002-03,46.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-13,MANU vs. NOH,3628,"42.982923, -71.446094",,shot - 4,20200326,1610612747,9.0,3.0,0.0,105.7856,20.0
3629,329.0,-115.0,95.0,11.0,4.0,0,2002-03,47.0,34.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,,MANU vs. NOH,3630,"42.982923, -71.446094",,shot - 3,20200326,1610612747,97.64,4.0,120.60799999999999,,34.0
3640,233.0,-125.0,-5.0,3.0,2.0,0,2002-03,6.0,32.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,,MANU vs. ORL,3641,"42.982923, -71.446094",,shot - 3,20200341,1610612747,3.0,101.36,106.60799999999999,108.2,32.0
3641,245.0,-89.0,-9.0,1.0,2.0,0,2002-03,47.0,28.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2002-12-15,MANU vs. ORL,3642,"42.982923, -71.446094",,shot - 3,20200341,1610612747,54.7616,2.0,0.0,47.0,105.4
3647,333.0,-107.0,247.0,5.0,3.0,0,2002-03,14.0,46.0,,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,2002-12-15,MANU vs. ORL,3648,"42.982923, -71.446094",,shot - 3,20200341,1610612747,102.64,3.0,108.60799999999999,14.0,46.0
3649,345.0,0.0,0.0,4.0,3.0,0,2002-03,3.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-15,MANU vs. ORL,3650,"42.982923, -71.446094",shot - 12,,20200341,1610612747,100.64,54.36,80.8,3.0,20.0
3650,393.0,-44.0,153.0,0.0,3.0,0,2002-03,31.0,35.0,,Center(C),Mid Range,8-16 ft.,Manchester United,2002-12-15,MANU vs. ORL,3651,"42.982923, -71.446094",,shot - 3,20200341,1610612747,0.0,3.0,0.0,31.0,35.0
3651,28.0,0.0,0.0,7.0,,0,2002-03,10.0,20.0,,,Goal Area,Less Than 8 ft.,Manchester United,2002-12-17,MANU @ MIN,3652,"46.667324, -94.419250",shot - 32,,20200352,1610612747,7.0,34.36,0.0,10.0,20.0
3659,251.0,164.0,120.0,6.0,3.0,0,2002-03,40.0,40.0,,,Mid Range,16-24 ft.,Manchester United,2002-12-17,MANU @ MIN,3660,"46.667324, -94.419250",,shot - 3,20200352,1610612747,6.0,3.0,0.0,99.7216,28.4
3663,336.0,-8.0,69.0,8.0,4.0,0,2002-03,28.0,26.0,,Center(C),Goal Line,,Manchester United,2002-12-17,MANU @ MIN,3664,"46.667324, -94.419250",shot - 7,,20200352,1610612747,63.64,4.0,0.0,28.0,26.0
3669,44.0,,84.0,7.0,1.0,0,2002-03,11.0,29.0,,Center(C),Goal Line,8-16 ft.,Manchester United,2002-12-19,MANU @ NJN,3670,"40.643505, -73.939507",shot - 1,,20200367,1610612747,7.0,105.36,,11.0,32.4
3671,74.0,-100.0,133.0,5.0,1.0,0,2002-03,7.0,36.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2002-12-19,MANU @ NJN,3672,"40.643505, -73.939507",,shot - 3,20200367,1610612747,5.0,1.0,0.0,45.7856,36.0
3679,243.0,0.0,0.0,2.0,2.0,0,2002-03,4.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-19,MANU @ NJN,3680,"40.643505, -73.939507",,shot - 4,20200367,1610612747,2.0,2.0,0.0,4.0,20.0
3681,252.0,0.0,0.0,1.0,2.0,0,2002-03,4.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-19,MANU @ NJN,3682,"40.643505, -73.939507",shot - 12,,20200367,1610612747,1.0,,0.0,4.0,20.0
3684,287.0,5.0,99.0,9.0,3.0,0,2002-03,35.0,29.0,,Center(C),Goal Line,8-16 ft.,Manchester United,2002-12-19,MANU @ NJN,3685,"40.643505, -73.939507",,shot - 3,20200367,1610612747,9.0,3.0,0.0,35.0,84.4
3685,311.0,,0.0,7.0,,0,,27.0,32.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-12-19,MANU @ NJN,3686,"40.643505, -73.939507",shot - 56,,20200367,1610612747,7.0,3.0,0.0,27.0,32.0
3688,343.0,51.0,156.0,2.0,3.0,0,2002-03,43.0,36.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2002-12-19,MANU @ NJN,3689,"40.643505, -73.939507",shot - 53,,20200367,1610612747,59.64,3.0,0.0,43.0,36.0
3690,436.0,,0.0,5.0,4.0,0,2002-03,7.0,42.0,,Right Side(R),,24+ ft.,Manchester United,2002-12-19,MANU @ NJN,3691,"40.643505, -73.939507",shot - 2,,20200367,1610612747,5.0,4.0,63.608000000000004,7.0,42.0
3695,12.0,0.0,0.0,10.0,,0,2002-03,13.0,20.0,,,Goal Area,Less Than 8 ft.,Manchester United,2002-12-20,MANU @ PHI,3696,"39.993941, -75.143458",shot - 4,,20200372,1610612747,10.0,1.0,81.928,23.2,22.4
3697,84.0,117.0,-13.0,1.0,1.0,0,2002-03,41.0,31.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-12-20,MANU @ PHI,3698,"39.993941, -75.143458",,shot - 3,20200372,1610612747,1.0,1.0,0.0,41.0,61.4
3704,200.0,135.0,132.0,2.0,2.0,0,2002-03,24.0,38.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2002-12-20,MANU @ PHI,3705,"39.993941, -75.143458",,shot - 3,20200372,1610612747,2.0,2.0,0.0,24.0,38.0
3711,323.0,-156.0,54.0,3.0,3.0,0,2002-03,8.0,36.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2002-12-20,MANU @ PHI,3712,"39.993941, -75.143458",shot - 36,,20200372,1610612747,3.0,,0.0,8.0,36.0
3712,328.0,186.0,56.0,2.0,3.0,0,2002-03,3.0,39.0,,,Mid Range,16-24 ft.,Manchester United,2002-12-20,MANU @ PHI,3713,"39.993941, -75.143458",,shot - 3,20200372,1610612747,2.0,115.36,0.0,3.0,39.0
3718,386.0,-138.0,10.0,8.0,4.0,0,2002-03,39.0,33.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2002-12-20,MANU @ PHI,3719,"39.993941, -75.143458",,shot - 3,20200372,1610612747,,4.0,,39.0,33.0
3720,407.0,174.0,3.0,7.0,4.0,0,,2.0,37.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2002-12-20,MANU @ PHI,3721,"39.993941, -75.143458",shot - 49,,20200372,1610612747,7.0,4.0,0.0,2.0,37.0
3722,421.0,-105.0,-28.0,5.0,4.0,0,2002-03,25.0,30.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2002-12-20,MANU @ PHI,3723,"39.993941, -75.143458",shot - 44,,20200372,1610612747,5.0,66.36,0.0,25.0,30.0
3723,441.0,-122.0,40.0,3.0,4.0,0,2002-03,1.0,32.0,,Left Side(L),,8-16 ft.,Manchester United,2002-12-20,MANU @ PHI,3724,"39.993941, -75.143458",,shot - 3,20200372,1610612747,3.0,51.36,90.60799999999999,54.2,32.0
3724,461.0,3.0,150.0,1.0,4.0,0,2002-03,54.0,35.0,,Center(C),Mid Range,8-16 ft.,Manchester United,2002-12-20,MANU @ PHI,3725,"39.993941, -75.143458",shot - 3,,20200372,1610612747,84.7616,4.0,0.0,54.0,90.4
3726,500.0,159.0,-8.0,3.0,5.0,0,2002-03,27.0,35.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-12-20,MANU @ PHI,3727,"39.993941, -75.143458",shot - 37,,20200372,1610612747,3.0,5.0,0.0,27.0,13.4
3732,47.0,-174.0,13.0,6.0,1.0,0,2002-03,4.0,37.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2002-12-22,MANU @ TOR,3733,"43.717098, -79.395917",shot - 38,,20200392,1610612747,6.0,1.0,0.0,4.0,38.4
3733,56.0,-15.0,214.0,5.0,1.0,0,2002-03,38.0,41.0,,Center(C),Mid Range,16-24 ft.,Manchester United,2002-12-22,MANU @ TOR,3734,"43.717098, -79.395917",,shot - 3,20200392,1610612747,61.64,81.36,0.0,38.0,41.0
3735,70.0,161.0,189.0,4.0,1.0,0,2002-03,18.0,44.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2002-12-22,MANU @ TOR,3736,"43.717098, -79.395917",shot - 50,,20200392,1610612747,4.0,1.0,0.0,18.0,44.0
3741,248.0,-172.0,110.0,1.0,2.0,0,2002-03,2.0,,,Left Side(L),Mid Range,,Manchester United,2002-12-22,MANU @ TOR,3742,"43.717098, -79.395917",shot - 36,,20200392,1610612747,,2.0,0.0,2.0,40.0
3760,142.0,-113.0,128.0,9.0,2.0,0,,53.0,37.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2002-12-25,MANU vs. SAC,3761,,shot - 35,,20200404,1610612747,9.0,2.0,43.608000000000004,53.0,37.0
3764,209.0,0.0,0.0,2.0,2.0,0,2002-03,54.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,,MANU vs. SAC,3765,"42.982923, -71.446094",shot - 39,,20200404,1610612747,45.64,2.0,0.0,54.0,20.0
3769,388.0,-122.0,145.0,0.0,3.0,0,,0.0,38.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2002-12-25,MANU vs. SAC,3770,"42.982923, -71.446094",shot - 36,,20200404,1610612747,0.0,3.0,,99.2,38.0
3773,,-82.0,135.0,6.0,4.0,0,2002-03,4.0,35.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2002-12-25,MANU vs. SAC,3774,"42.982923, -71.446094",shot - 33,,20200404,1610612747,6.0,4.0,114.8,,35.0
3776,505.0,-43.0,248.0,0.0,4.0,0,2002-03,55.0,45.0,,Center(C),Penalty Spot,24+ ft.,Manchester United,2002-12-25,MANU vs. SAC,3777,"42.982923, -71.446094",shot - 17,,20200404,1610612747,90.64,4.0,0.0,55.0,45.0
3777,511.0,125.0,,0.0,4.0,0,2002-03,43.0,45.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2002-12-25,MANU vs. SAC,3778,"42.982923, -71.446094",shot - 19,,20200404,1610612747,49.64,,82.35231999999999,43.0,89.4
3779,4.0,-176.0,63.0,10.0,1.0,0,,58.0,38.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,,MANU @ DEN,3780,"39.739968, -104.954013",shot - 11,,20200425,1610612747,10.0,1.0,0.0,114.2,88.4
3780,7.0,-209.0,12.0,10.0,1.0,0,2002-03,30.0,40.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2002-12-28,MANU @ DEN,3781,"39.739968, -104.954013",shot - 30,,20200425,1610612747,49.2,,0.0,30.0,28.4
3782,38.0,-2.0,102.0,6.0,1.0,0,,38.0,30.0,,Center(C),Goal Line,8-16 ft.,Manchester United,2002-12-28,MANU @ DEN,3783,"39.739968, -104.954013",shot - 3,,20200425,1610612747,6.0,1.0,0.0,38.0,30.0
3783,68.0,179.0,-9.0,3.0,1.0,0,2002-03,51.0,37.0,,Right Side(R),,16-24 ft.,Manchester United,2002-12-28,MANU @ DEN,3784,"39.739968, -104.954013",,shot - 3,20200425,1610612747,3.0,1.0,0.0,51.0,37.0
3787,180.0,176.0,-6.0,3.0,2.0,0,2002-03,55.0,37.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2002-12-28,MANU @ DEN,3788,"39.739968, -104.954013",shot - 8,,20200425,1610612747,3.0,2.0,104.928,25.2,37.0
3789,188.0,,-8.0,3.0,2.0,0,2002-03,24.0,37.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2002-12-28,MANU @ DEN,3790,"39.739968, -104.954013",shot - 20,,20200425,1610612747,3.0,71.36,55.8,24.0,
3793,246.0,232.0,7.0,10.0,3.0,0,2002-03,51.0,,,Right Side(R),Right Corner,24+ ft.,Manchester United,2002-12-28,MANU @ DEN,3794,"39.739968, -104.954013",,shot - 3,20200425,1610612747,10.0,3.0,0.0,51.0,43.0
3794,254.0,,189.0,9.0,,0,2002-03,46.0,38.0,,Center(C),Mid Range,16-24 ft.,Manchester United,2002-12-28,MANU @ DEN,3795,"39.739968, -104.954013",shot - 54,,20200425,1610612747,102.2,3.0,0.0,46.0,32.728
3795,264.0,186.0,109.0,8.0,3.0,0,,11.0,41.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2002-12-28,MANU @ DEN,3796,"39.739968, -104.954013",shot - 28,,20200425,1610612747,8.0,56.36,0.0,11.0,41.0
3800,325.0,164.0,-13.0,0.0,3.0,0,,33.0,36.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,,MANU @ DEN,3801,"39.739968, -104.954013",shot - 38,,20200425,1610612747,0.0,3.0,0.0,33.0,36.0
3801,327.0,194.0,150.0,0.0,3.0,0,2002-03,2.0,44.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2002-12-28,MANU @ DEN,3802,"39.739968, -104.954013",shot - 20,,20200425,1610612747,47.64,3.0,0.0,2.0,44.0
3805,13.0,85.0,150.0,10.0,1.0,0,2002-03,15.0,37.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2002-12-29,MANU vs. TOR,3806,"42.982923, -71.446094",,shot - 3,20200431,1610612747,10.0,1.0,0.0,15.0,37.0
3807,44.0,,30.0,6.0,1.0,0,2002-03,11.0,33.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2002-12-29,MANU vs. TOR,3808,"42.982923, -71.446094",,shot - 3,20200431,1610612747,6.0,1.0,0.0,22.2,75.4
3812,248.0,59.0,173.0,7.0,3.0,0,,46.0,38.0,,Right Side Center(RC),Mid Range,,Manchester United,2002-12-29,MANU vs. TOR,3813,"42.982923, -71.446094",,shot - 3,20200431,1610612747,7.0,,0.0,46.0,38.0
3813,,74.0,164.0,6.0,3.0,0,2002-03,52.0,37.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2002-12-29,MANU vs. TOR,3814,"42.982923, -71.446094",shot - 34,,20200431,1610612747,109.64,3.0,88.60799999999999,49.7856,37.0
3817,324.0,0.0,0.0,0.0,3.0,0,2002-03,30.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2002-12-29,MANU vs. TOR,3818,"42.982923, -71.446094",shot - 35,,20200431,1610612747,0.0,53.36,0.0,30.0,20.0
3823,90.0,95.0,174.0,1.0,1.0,0,,26.0,39.0,,Right Side Center(RC),Mid Range,16-24 ft.,,2003-01-04,MANU @ PHX,3824,"33.552026, -112.071667",,shot - 3,20200471,1610612747,1.0,1.0,103.8,26.0,90.4
3835,287.0,-13.0,130.0,5.0,3.0,0,2002-03,36.0,,,Center(C),Goal Line,,Manchester United,2003-01-04,MANU @ PHX,3836,"33.552026, -112.071667",shot - 27,,20200471,1610612747,75.64,92.36,78.608,77.2,17.4
3852,11.0,54.0,137.0,10.0,1.0,0,2002-03,8.0,34.0,,Center(C),Goal Line,8-16 ft.,Manchester United,2003-01-05,MANU vs. PHX,3853,"42.982923, -71.446094",,shot - 3,20200476,1610612747,10.0,,0.0,105.2,34.0
3854,18.0,146.0,-3.0,9.0,1.0,0,2002-03,4.0,34.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2003-01-05,MANU vs. PHX,3855,"42.982923, -71.446094",,shot - 3,20200476,1610612747,9.0,1.0,0.0,4.0,34.0
3857,65.0,0.0,0.0,4.0,1.0,0,,3.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,,MANU vs. PHX,3858,"42.982923, -71.446094",,shot - 4,20200476,1610612747,4.0,1.0,,3.0,20.0
3860,,0.0,,0.0,1.0,0,2002-03,58.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-05,,3861,"42.982923, -71.446094",,shot - 4,20200476,1610612747,31.7616,101.6,0.0,58.0,20.0
3865,265.0,74.0,99.0,11.0,3.0,0,2002-03,30.0,32.0,,Right Side(R),Goal Line,8-16 ft.,Manchester United,2003-01-05,,3866,"42.982923, -71.446094",,shot - 3,20200476,1610612747,11.0,3.0,0.0,30.0,102.4
3868,327.0,-237.0,45.0,4.0,3.0,0,2002-03,40.0,44.0,,Left Side(L),Left Corner,24+ ft.,Manchester United,2003-01-05,MANU vs. PHX,3869,"42.982923, -71.446094",shot - 27,,20200476,1610612747,115.64,3.0,0.0,40.0,44.0
3869,339.0,197.0,51.0,4.0,3.0,0,2002-03,16.0,,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2003-01-05,MANU vs. PHX,3870,"42.982923, -71.446094",,shot - 3,20200476,1610612747,4.0,3.0,0.0,16.0,40.0
3873,388.0,0.0,0.0,10.0,4.0,0,2002-03,41.0,20.0,,Center(C),,Less Than 8 ft.,Manchester United,2003-01-05,,3874,"42.982923, -71.446094",shot - 12,,20200476,1610612747,28.64,4.0,50.608000000000004,41.0,20.0
3875,409.0,-136.0,,8.0,4.0,0,,48.0,33.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2003-01-05,MANU vs. PHX,3876,"42.982923, -71.446094",,shot - 3,20200476,1610612747,66.64,4.0,0.0,96.2,73.4
3877,425.0,46.0,49.0,7.0,4.0,0,,17.0,26.0,,,Goal Line,Less Than 8 ft.,Manchester United,2003-01-05,MANU vs. PHX,3878,"42.982923, -71.446094",,shot - 3,20200476,1610612747,7.0,102.6,0.0,17.0,26.0
3883,99.0,0.0,0.0,2.0,1.0,0,2002-03,49.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-07,MANU vs. SEA,3884,"42.982923, -71.446094",shot - 39,,20200490,1610612747,2.0,1.0,117.928,92.2,20.0
3889,193.0,-125.0,227.0,4.0,2.0,0,2002-03,39.0,45.0,,Left Side Center(LC),Penalty Spot,,Manchester United,2003-01-07,MANU vs. SEA,3890,"42.982923, -71.446094",shot - 36,,20200490,1610612747,4.0,2.0,0.0,39.0,
3899,288.0,0.0,0.0,5.0,3.0,0,2002-03,6.0,20.0,,Center(C),,Less Than 8 ft.,Manchester United,2003-01-07,MANU vs. SEA,3900,"42.982923, -71.446094",,shot - 1,20200490,1610612747,5.0,3.0,0.0,6.0,20.0
3903,319.0,-215.0,140.0,0.0,3.0,0,2002-03,57.0,45.0,,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,2003-01-07,MANU vs. SEA,3904,"42.982923, -71.446094",,shot - 3,20200490,1610612747,0.0,3.0,0.0,118.7216,
3905,381.0,113.0,224.0,6.0,4.0,0,2002-03,58.0,45.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2003-01-07,MANU vs. SEA,3906,"42.982923, -71.446094",,shot - 3,20200490,1610612747,6.0,4.0,0.0,58.0,45.0
3906,411.0,-57.0,,4.0,4.0,0,2002-03,,45.0,,Center(C),Penalty Spot,24+ ft.,,2003-01-07,MANU vs. SEA,3907,"42.982923, -71.446094",,shot - 3,20200490,1610612747,69.64,4.0,0.0,113.2,
3907,420.0,-107.0,230.0,4.0,4.0,0,2002-03,18.0,45.0,,,Penalty Spot,24+ ft.,,2003-01-07,MANU vs. SEA,3908,"42.982923, -71.446094",,shot - 3,20200490,1610612747,4.0,4.0,0.0,18.0,45.0
3911,96.0,0.0,0.0,2.0,1.0,0,2002-03,7.0,,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-10,MANU vs. CLE,3912,"42.982923, -71.446094",shot - 39,,20200516,1610612747,40.64,1.0,0.0,7.0,20.0
3912,153.0,0.0,0.0,9.0,2.0,0,2002-03,29.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-10,MANU vs. CLE,3913,"42.982923, -71.446094",,shot - 4,20200516,1610612747,,2.0,0.0,29.0,20.0
3913,206.0,227.0,-9.0,4.0,2.0,0,2002-03,30.0,42.0,,Right Side(R),Right Corner,24+ ft.,Manchester United,2003-01-10,MANU vs. CLE,3914,"42.982923, -71.446094",,shot - 3,20200516,1610612747,4.0,2.0,0.0,133.7856,42.0
3917,318.0,0.0,0.0,6.0,3.0,0,2002-03,49.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-10,MANU vs. CLE,3918,"42.982923, -71.446094",,shot - 1,20200516,1610612747,6.0,3.0,,100.2,20.0
3922,53.0,0.0,0.0,4.0,1.0,0,2002-03,,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-12,MANU vs. MIA,3923,"42.982923, -71.446094",,shot - 1,20200530,1610612747,4.0,1.0,0.0,,20.0
3923,,-13.0,248.0,1.0,1.0,0,2002-03,,44.0,,Center(C),Penalty Spot,,Manchester United,2003-01-12,MANU vs. MIA,3924,"42.982923, -71.446094",shot - 7,,20200530,1610612747,1.0,1.0,0.0,49.0,44.0
3924,99.0,0.0,0.0,0.0,1.0,0,2002-03,0.0,20.0,,,Goal Area,Less Than 8 ft.,Manchester United,2003-01-12,MANU vs. MIA,3925,"42.982923, -71.446094",shot - 39,,20200530,1610612747,0.0,1.0,,0.0,27.4
3926,114.0,46.0,63.0,9.0,,0,2002-03,18.0,27.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2003-01-12,MANU vs. MIA,3927,"42.982923, -71.446094",,shot - 3,20200530,1610612747,,2.0,0.0,18.0,27.0
3954,198.0,0.0,0.0,0.0,2.0,0,2002-03,56.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-15,MANU @ NOH,3955,"30.018061, -90.022651",,shot - 1,20200546,1610612747,17.2,2.0,0.0,56.0,20.0
3963,350.0,0.0,0.0,9.0,4.0,0,2002-03,32.0,,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-15,,3964,"30.018061, -90.022651",,shot - 4,20200546,1610612747,,98.36,0.0,32.0,27.4
3965,395.0,-189.0,99.0,5.0,4.0,0,2002-03,34.0,41.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2003-01-15,MANU @ NOH,3966,,,shot - 3,20200546,1610612747,5.0,4.0,0.0,34.0,81.4
3968,440.0,0.0,0.0,0.0,4.0,0,2002-03,43.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2003-01-15,MANU @ NOH,3969,"30.018061, -90.022651",,shot - 4,20200546,1610612747,21.2,4.0,0.0,43.0,20.0
